"word",count
"intellectualization",8
"electrogalvanization",8
"hereditarianism",8
"electronegativity",8
"actinomycetaceae",8
"laryngotracheobronchitis",8
"authoritarianism",8
"hemidemisemiquaver",8
"overcapitalization",8
"tetrahydrocannabinol",8
"electroencephalography",8
"afibrinogenemia",8
"intellectualization",8
"antiferromagnetism",8
"individualization",8
"indecipherability",8
"dematerialization",8
"biodegradability",8
"internationalization",8
"adenocarcinomatous",8
"adrenocorticotropic",8
"electrocardiography",8
"hypoparathyroidism",8
"individualistically",8
"egalitarianism",8
"encepphalomeningitis",8
"aristotelianism",8
"totalitarianism",8
"arteriolosclerosis",8
"denominationalism",8
"bacillariophyceae",8
"triiodothyronine",8
"irreconcilability",8
"utilitarianism",8
"counterrevolutionary",8
"antiestablishmentism",8
"auriculariaceae",8
"internationalization",8
"socioeconomically",8
"pseudohermaphroditism",8
"psychophysiological",8
"auriculoventricular",8
"indefatigability",8
"immunohistochemistry",8
"anthingarianism",8
"immaterialization",8
"perfectibilitarian",8
"aristolochiaceae",8
