"word",count
"accommodation",5
"administration",5
"anniversary",5
"association",5
"capability",5
"characteristic",5
"classification",5
"communication",5
"consideration",5
"constituency",5
"determination",5
"differentiate",5
"disability",5
"discrimination",5
"electricity",5
"evaluation",5
"examination",5
"flexibility",5
"ideology",5
"imagination",5
"implementation",5
"individual",5
"initiative",5
"interpretation",5
"investigation",5
"justification",5
"laboratory",5
"liability",5
"manufacturer",5
"modification",5
"negotiation",5
"opportunity",5
"organisation",5
"organization",5
"participation",5
"personality",5
"possibility",5
"probability",5
"productivity",5
"qualification",5
"recommendation",5
"representation",5
"representative",5
"sociology",5
"specification",5
"subsidiary",5
"university",5
