"word",count
"ability",4
"accommodate",4
"accompany",4
"accumulate",4
"accuracy",4
"acquisition",4
"activity",4
"administer",4
"advertisement",4
"Agriculture",4
"allegation",4
"allocation",4
"alternative",4
"American",4
"analysis",4
"anticipate",4
"anxiety",4
"application",4
"appreciate",4
"architecture",4
"associate",4
"authority",4
"autonomy",4
"calculation",4
"capacity",4
"capitalism",4
"casualty",4
"category",4
"celebration",4
"ceremony",4
"certificate",4
"championship",4
"characterise",4
"characterize",4
"coalition",4
"combination",4
"commissioner",4
"communicate",4
"community",4
"comparison",4
"compensation",4
"competition",4
"competitor",4
"complexity",4
"composition",4
"concentration",4
"conservation",4
"Conservative",4
"constituent",4
"Constitution",4
"consultation",4
"contribution",4
"controversy",4
"conversation",4
"corporation",4
"correlation",4
"correspondent",4
"criterion",4
"curriculum",4
"declaration",4
"definition",4
"delegation",4
"delivery",4
"democracy",4
"demonstration",4
"developer",4
"development",4
"diagnosis",4
"dictionary",4
"difficulty",4
"directory",4
"disadvantage",4
"disappointment",4
"discovery",4
"distribution",4
"economy",4
"Education",4
"efficiency",4
"eliminate",4
"emergency",4
"engineering",4
"entertainment",4
"enthusiasm",4
"environment",4
"equivalent",4
"establishment",4
"evaluate",4
"evolution",4
"execution",4
"executive",4
"exhibition",4
"expectation",4
"expenditure",4
"experience",4
"experiment",4
"explanation",4
"facilitate",4
"facility",4
"federation",4
"generation",4
"hierarchy",4
"historian",4
"hypothesis",4
"identify",4
"identity",4
"illustration",4
"implication",4
"incorporate",4
"indication",4
"indicator",4
"information",4
"ingredient",4
"initiate",4
"innovation",4
"installation",4
"institution",4
"integration",4
"intelligence",4
"interaction",4
"Interior",4
"intervention",4
"introduction",4
"investigate",4
"invitation",4
"isolation",4
"jurisdiction",4
"legislation",4
"liberation",4
"limitation",4
"literature",4
"machinery",4
"majority",4
"manipulate",4
"manufacture",4
"material",4
"minority",4
"Monopoly",4
"mortality",4
"motivation",4
"necessity",4
"negotiate",4
"obligation",4
"observation",4
"occupation",4
"operation",4
"operator",4
"Opposition",4
"originate",4
"participant",4
"participate",4
"phenomenon",4
"philosophy",4
"politician",4
"polytechnic",4
"population",4
"practitioner",4
"preparation",4
"presentation",4
"priority",4
"professional",4
"proposition",4
"prosecution",4
"psychology",4
"publication",4
"radiation",4
"reality",4
"recognition",4
"recovery",4
"redundancy",4
"registration",4
"regulation",4
"relationship",4
"reputation",4
"resignation",4
"resolution",4
"Restoration",4
"revolution",4
"satisfaction",4
"secretary",4
"security",4
"separation",4
"significance",4
"situation",4
"society",4
"solicitor",4
"speculation",4
"stability",4
"technology",4
"television",4
"temperature",4
"territory",4
"transformation",4
"uncertainty",4
"understanding",4
"variable",4
"variation",4
"variety",4
"vegetable",4
