"word",count
"Enterobacteriaceae",9
"Aphrodisiomaniacal",9
"Hyperbilirubinemia",9
"Plasmodiophoraceae",9
"Macrosociologically",9
"Antilatitudinarian",9
"Panhypopituitarism",9
"Paleoentomological",9
"Coccidioidomycosis",9
"Polytetrafluoroethylene",9
"Pentamethylenetetrazol",9
"Dihydroxyphenylalanine",9
"Otorhinolaryngologist",9
"Hypolipoproteinemia",9
"Hyperlipoproteinemia",9
"Hypercholesterolemia",9
"Neuropharmacologically",9
"Heterobasidiomycetes",9
"Chemicomineralogical",9
"Corynebacteriaceae",9
"Mucopolysaccharidosis",9
"Agammaglobulinemia",9
