"word",count
"Saponification",6
"Abiogenesis",6
"Capitalization",6
"Biodiversity",6
"Trichomoniasis",6
"Responsibility",6
"Personification",6
"Prestidigitation",6
"Voluminosity",6
"Plasmodesmata",6
"Desertification",6
"Extraterrestrial",6
"Capitalisation",6
"Abecedarian",6
"Mesopotamia",6
"Accountability",6
"Electrifying",6
"Imperialism",6
"Veterinarian",6
"Indefatigable",6
"Alphabetisation",6
"Collectivization",6
"Bioterrorism",6
"Dimethyltryptamine",6
"Encyclopedia",6
"Identification",6
"Revolutionary",6
"Acanthisittidae",6
"Characterization",6
"Benzodiazepine",6
"Sphygmomanometer",6
"Generalization",6
"Beneficiary",6
"Biotechnology",6
"Amniocentesis",6
"Antidiabetic",6
"combination",6
"commissioner",6
"Enthusiastically",6
"Antepenultimate",6
"Acclimatization",6
"Archaebacteria",6
"Hydroelectricity",6
"Humanitarian",6
"Abdominoplasty",6
"Autobiography",6
"Identifiable",6
"Rationalisation",6
"Australopithecus",6
"Characteristically",6
"Initialisation",6
"Undifferentiated",6
"Adaptability",6
"Bioluminescence",6
"Atherosclerosis",6
"Anaplasmosis",6
"Apprehensiveness",6
"Syllabification",6
"Abecedarius",6
"Idiosyncrasy",6
"Invisibility",6
"Cardiovascular",6
"Parthenogenesis",6
"Alienation",6
"Beautification",6
"Acceptability",6
"Involuntarily",6
"Bacteriology",6
"Tintinnabulation",6
"Acanthocytosis",6
"Acclimatisation",6
"Acetaminophen",6
"Dependability",6
"Hyperglycemia",6
"disappointment",6
"Discombobulated",6
"Counterrevolution",6
"Biodegradable",6
"Accelerometer",6
"Americanism",6
"Responsibilities",6
"Megalomania",6
"Behaviorism",6
"Labialization",6
"Rehabilitation",6
"Familiarity",6
"Abecedarium",6
"Australopithecine",6
"Reconciliation",6
"Acetonemia",6
"Unimaginable",6
"Integumentary",6
"Insubordination",6
"Actinomycosis",6
"Reliability",6
"Gastroenterologist",6
"Divisibility",6
"Maladministration",6
"Academicism",6
"Excommunication",6
