"word",count
"aerobacteriologically",10
"anatomicopathologically",10
"antimaterialistically",10
"atlantic intracoastal waterway",10
"atomic energy authority",10
"biochemical oxygen demand",10
"bioelectrogenetically",10
"chorioepitheliomata",10
"combinatorial analysis",10
"polytetrafluoroethylene",10
"european economic community",10
"palestine liberation organization",10
"secondary sexual characteristic",10
"diphenylhydantoin sodium",10
"ecclesiastical commissioners",10
"electron probe microanalysis",10
"electrocardiographically",10
"french revolutionary calendar",10
"gorno-badakhshan autonomous region",10
"heisenberg uncertainty principle",10
"index librorum prohibitorum",10
"karachai-cherkess autonomous region",10
"magnetohydrodynamically",10
"oscillating universe theory",10
"overindividualization",10
"overintellectualization",10
"thermodynamic equilibrium",10
