"word",count
"abandon",3
"abolish",3
"absolute",3
"acceptance",3
"accident",3
"accountant",3
"achievement",3
"acknowledge",3
"activate",3
"addition",3
"adjustment",3
"admission",3
"advantage",3
"adventure",3
"advertise",3
"adviser",3
"advocate",3
"afternoon",3
"agency",3
"agenda",3
"agreement",3
"alcohol",3
"alliance",3
"allocate",3
"allowance",3
"ambition",3
"ambulance",3
"amendment",3
"analyse",3
"analyst",3
"animal",3
"announcement",3
"apartment",3
"appearance",3
"appendix",3
"applicant",3
"appointment",3
"approval",3
"archbishop",3
"architect",3
"area",3
"argument",3
"arrangement",3
"arrival",3
"article",3
"assemble",3
"assembly",3
"assessment",3
"assignment",3
"assistance",3
"assistant",3
"Assumption",3
"assurance",3
"atmosphere",3
"attendance",3
"attention",3
"attitude",3
"attraction",3
"attribute",3
"audience",3
"auditor",3
"avenue",3
"average",3
"awareness",3
"barrier",3
"battery",3
"beginning",3
"behaviour",3
"benefit",3
"boundary",3
"businessman",3
"cabinet",3
"calculate",3
"camera",3
"candidate",3
"Capital",3
"carrier",3
"casual",3
"catalogue",3
"cathedral",3
"celebrate",3
"century",3
"champion",3
"Chancellor",3
"character",3
"charity",3
"chemical",3
"chocolate",3
"cigarette",3
"circulate",3
"circumstance",3
"citizen",3
"clarify",3
"classify",3
"coincide",3
"collection",3
"collector",3
"Colony",3
"commander",3
"commission",3
"commitment",3
"committee",3
"commonwealth",3
"companion",3
"company",3
"compensate",3
"completion",3
"component",3
"compromise",3
"computer",3
"concentrate",3
"conception",3
"concession",3
"conclusion",3
"condition",3
"conference",3
"confidence",3
"confusion",3
"connection",3
"consciousness",3
"consequence",3
"consider",3
"Constable",3
"constitute",3
"construction",3
"consultant",3
"consumer",3
"consumption",3
"contemplate",3
"Continent",3
"continue",3
"contribute",3
"convention",3
"conversion",3
"conviction",3
"correspond",3
"corridor",3
"councillor",3
"counterpart",3
"coverage",3
"Creation",3
"creditor",3
"criticise",3
"criticism",3
"criticize",3
"curious",3
"currency",3
"customer",3
"database",3
"decision",3
"decorate",3
"dedicate",3
"defendant",3
"defender",3
"deficit",3
"delegate",3
"deliver",3
"Democrat",3
"demonstrate",3
"density",3
"department",3
"departure",3
"deposit",3
"Depression",3
"deputy",3
"description",3
"designer",3
"destruction",3
"detective",3
"determine",3
"develop",3
"diagram",3
"dialogue",3
"diamond",3
"diary",3
"difference",3
"dimension",3
"diminish",3
"direction",3
"directive",3
"director",3
"disagree",3
"disappear",3
"disaster",3
"discipline",3
"discover",3
"discretion",3
"discussion",3
"dismissal",3
"disorder",3
"disposal",3
"distinction",3
"distinguish",3
"distribute",3
"dividend",3
"division",3
"document",3
"dominate",3
"duration",3
"edition",3
"editor",3
"educate",3
"election",3
"element",3
"embody",3
"emission",3
"emotion",3
"emperor",3
"emphasise",3
"emphasize",3
"employee",3
"employer",3
"employment",3
"enable",3
"encounter",3
"encourage",3
"enemy",3
"Energy",3
"engagement",3
"engineer",3
"enquiry",3
"enterprise",3
"entertain",3
"entitle",3
"entity",3
"envelope",3
"envisage",3
"episode",3
"equation",3
"equipment",3
"equity",3
"establish",3
"estimate",3
"evidence",3
"examine",3
"example",3
"exception",3
"excitement",3
"exclusion",3
"execute",3
"exercise",3
"exhibit",3
"existence",3
"expansion",3
"expertise",3
"explosion",3
"exposure",3
"expression",3
"extension",3
"factory",3
"family",3
"fantasy",3
"favourite",3
"festival",3
"formation",3
"formula",3
"formulate",3
"frequency",3
"funeral",3
"furniture",3
"gallery",3
"general",3
"generate",3
"gentleman",3
"government",3
"governor",3
"graduate",3
"guarantee",3
"guardian",3
"heritage",3
"hesitate",3
"history",3
"holiday",3
"horizon",3
"hospital",3
"idea",3
"illustrate",3
"imagine",3
"implement",3
"importance",3
"impression",3
"improvement",3
"incentive",3
"incidence",3
"incident",3
"indicate",3
"industry",3
"infection",3
