"word",count
"abbey",2
"absence",2
"absorb",2
"abuse",2
"accent",2
"accept",2
"access",2
"account",2
"accuse",2
"achieve",2
"acid",2
"acquire",2
"Acre",2
"action",2
"actor",2
"acute",2
"adapt",2
"address",2
"adjust",2
"admire",2
"admit",2
"adopt",2
"adult",2
"advance",2
"advice",2
"advise",2
"affair",2
"affect",2
"afford",2
"agent",2
"agree",2
"aircraft",2
"airline",2
"airport",2
"airy",2
"alarm",2
"album",2
"alert",2
"allege",2
"allow",2
"ally",2
"alone",2
"alter",2
"amend",2
"amount",2
"ample",2
"Angel",2
"anger",2
"Angle",2
"angry",2
"announce",2
"answer",2
"appeal",2
"appear",2
"apple",2
"apply",2
"appoint",2
"approach",2
"approve",2
"arcane",2
"argue",2
"arise",2
"Army",2
"arouse",2
"arrange",2
"arrest",2
"arrive",2
"artist",2
"arty",2
"aspect",2
"Assault",2
"assert",2
"assess",2
"asset",2
"assign",2
"assist",2
"assume",2
"assure",2
"attach",2
"attack",2
"attain",2
"attempt",2
"attend",2
"attract",2
"audit",2
"author",2
"autumn",2
"avoid",2
"await",2
"award",2
"baby",2
"background",2
"baggy",2
"Balance",2
"balmy",2
"banking",2
"basket",2
"bastard",2
"bathroom",2
"battle",2
"beauty",2
"become",2
"bedroom",2
"Begin",2
"behave",2
"being",2
"belief",2
"believe",2
"belong",2
"Bible",2
"billion",2
"birthday",2
"bishop",2
"blanket",2
"bloody",2
"body",2
"bonny",2
"bonus",2
"border",2
"boring",2
"borough",2
"borrow",2
"bossy",2
"bother",2
"bottle",2
"bottom",2
"bouncy",2
"brainy",2
"breakfast",2
"breezy",2
"Brother",2
"bubbly",2
"budget",2
"builder",2
"building",2
"bulky",2
"bumpy",2
"burden",2
"bureau",2
"burly",2
"bury",2
"bushy",2
"business",2
"busy",2
"butter",2
"button",2
"buyer",2
"cable",2
"campaign",2
"canal",2
"cancel",2
"Cancer",2
"canny",2
"captain",2
"capture",2
"carbon",2
"career",2
"carpet",2
"carriage",2
"carry",2
"castle",2
"cater",2
"ceiling",2
"Centre",2
"chairman",2
"challenge",2
"chamber",2
"Champagne",2
"channel",2
"chapel",2
"chapter",2
"charter",2
"cheeky",2
"cheery",2
"chicken",2
"childhood",2
"chilly",2
"Christian",2
"chunky",2
"circle",2
"circuit",2
"city",2
"classroom",2
"classy",2
"clever",2
"client",2
"climate",2
"clinic",2
"closure",2
"clothing",2
"cloudy",2
"clumsy",2
"coffee",2
"collapse",2
"colleague",2
"collect",2
"college",2
"colonel",2
"colour",2
"column",2
"combine",2
"comfort",2
"command",2
"commence",2
"comment",2
"commit",2
"compact",2
"compare",2
"compel",2
"compete",2
"compile",2
"complain",2
"complaint",2
"complete",2
"complex",2
"comply",2
"compose",2
"compound",2
"comprise",2
"conceal",2
"concede",2
"conceive",2
"concept",2
"concern",2
"concert",2
"conclude",2
"condemn",2
"conduct",2
"confer",2
"confess",2
"confine",2
"confirm",2
"conflict",2
"conform",2
"confront",2
"confuse",2
"Congress",2
"connect",2
"consent",2
"consist",2
"constraint",2
"construct",2
"consult",2
"consume",2
"contact",2
"contain",2
"content",2
"contest",2
"context",2
"contract",2
"contrast",2
"control",2
"convert",2
"convey",2
"convict",2
"convince",2
"copper",2
"copy",2
"corner",2
"correct",2
"corrupt",2
"costly",2
"cosy",2
"cottage",2
"cotton",2
"council",2
"counter",2
"country",2
"county",2
"couple",2
"cousin",2
"cover",2
"crafty",2
"crazy",2
"creamy",2
"create",2
"creature",2
"credit",2
"cricket",2
"crisis",2
"critic",2
"cruel",2
"crusty",2
"crystal",2
"cuddly",2
"culture",2
"cunning",2
"cupboard",2
"curly",2
"curtain",2
"custom",2
"cycle",2
"daddy",2
"dainty",2
"damage",2
"danger",2
"darkness",2
"Darling",2
"data",2
"daughter",2
"deadly",2
"dealer",2
